post_title,post_excerpt,post_content,sku,regular_price,tax:product_type,tax:product_cat,attribute:pa_chain,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_diamonds,attribute:pa_lock,attribute:pa_material,attribute:pa_measure,attribute_data:pa_measure,attribute_default:pa_measure
DECANTER3001 V,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,DECANTER3001 V VARIABLE,"250,00",variable,Hermitage,,V | R | DB | GR,0|1|1,V,,,Crystal,1 lt,,1 lt
DECANTER40464 GR,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,DECANTER40464 GR VARIABLE,"260,00",variable,Hermitage,,DB|V|GR|R,0|1|1,GR,,,Crystal,"1,25 lt",,"1,25 lt"
Moonlight,"TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.",Moonlight VARIABLE,"149,00",variable,TF. 9,"45 cm, ø 1,2 mm",,,,97 stones,,,10 mm|12 mm|15 mm,0|1|1,10 mm
Chardonnay,"TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.",Chardonnay VARIABLE,"149,00",variable,TF. 9,"45 cm, ø 1,2 mm",,,,97 stones,,,10 mm|12 mm|15 mm,0|1|1,10 mm
Blue Lake,"TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.",Blue Lake VARIABLE,"149,00",variable,TF. 9,"45 cm, ø 1,2 mm",,,,97 stones,,,10 mm|12 mm|15 mm,0|1|1,10 mm
Berry Field,"TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.",Berry Field VARIABLE,"149,00",variable,TF. 9,"45 cm, ø 1,2 mm",,,,97 stones,,,10 mm|12 mm|15 mm,0|1|1,10 mm
Green Eye,"TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.",Green Eye VARIABLE,"149,00",variable,TF. 9,"45 cm, ø 1,2 mm",,,,97 stones,,,10 mm|12 mm|15 mm,0|1|1,10 mm
Purple Plum,"TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.",Purple Plum VARIABLE,"149,00",variable,TF. 9,"45 cm, ø 1,2 mm",,,,97 stones,,,10 mm|12 mm|15 mm,0|1|1,10 mm
CL001 DGYS,,,CL001 DGYS VARIABLE,"214,00",variable,TF HOMME,,DGYS | DBS | GYS,0|1|1,DGYS,,,,13 mm,,13 mm
FRUIT69546 DB,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,FRUIT69546 DB VARIABLE,"260,00",variable,Hermitage,,DB | R | V | GR,0|1|1,DB,,,Crystal,15 cm,,15 cm
E001149-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",E001149-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,15 mm,,15 mm
FLUTE4217 V,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,FLUTE4217 V VARIABLE,"150,00",variable,Hermitage,,V | R | DB | GR,0|1|1,V,,,Crystal,150 ml x2,,150 ml x2
FTD-BOX0300 DB,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,FTD-BOX0300 DB VARIABLE,"300,00",variable,Hermitage,,DB | R | V | GR,0|1|1,DB,,,Crystal,17 cm,,17 cm
WINE4217 GR,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,WINE4217 GR VARIABLE,"140,00",variable,Hermitage,,GR | V | DB | R,0|1|1,GR,,,Crystal,170 ml x2,,170 ml x2
VASE2299/8 GR,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,VASE2299/8 GR VARIABLE,"260,00",variable,Hermitage,,GR | V | DB | R,0|1|1,GR,,,Crystal,18 cm,,18 cm
CL004 DB,,,CL004 DB VARIABLE,"234,00",variable,TF HOMME,,DB | GR | R,0|1|1,DB,,,,18 mm,,18 mm
P001152-G-B,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001152-G-B VARIABLE,"98,00",variable,Eggs > Olga,,G-B | G-DB | G-GR | G-LB | G-PI | G-V | G-W | G-Y,0|1|1,G-B,,,,18 mm,,18 mm
P001153-G-B,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001153-G-B VARIABLE,"98,00",variable,Eggs > Olga,,G-B | G-DB | G-GR | G-LB | G-PI | G-V | G-W | G-Y,0|1|1,G-B,,,,18 mm,,18 mm
P001154-G-B,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001154-G-B VARIABLE,"98,00",variable,Eggs > Olga,,G-B | G-DB | G-GR | G-LB | G-PI | G-V | G-W | G-Y,0|1|1,G-B,,,,18 mm,,18 mm
E001146-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",E001146-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
E001147-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",E001147-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
