Parent,parent_sku,sku,regular_price,meta:attribute_pa_color,meta:attribute_pa_measure
01480 GR,01480 GR VARIABLE,01480 TBS,"214,00",TBS,22 mm
01480 GR,01480 GR VARIABLE,01480 W,"214,00",W,22 mm
01480 GR,01480 GR VARIABLE,01480 GR,"214,00",GR,22 mm
01482 B,01482 B VARIABLE,01482 DB,"214,00",DB,22 mm
01482 B,01482 B VARIABLE,01482 R,"214,00",R,22 mm
01482 B,01482 B VARIABLE,01482 W,"214,00",W,22 mm
01482 B,01482 B VARIABLE,01482 B,"214,00",B,22 mm
01493 GDB,01493 GDB VARIABLE,01493 GW,"214,00",GW,22 mm
01493 GDB,01493 GDB VARIABLE,01493 WDB,"214,00",WDB,22 mm
01493 GDB,01493 GDB VARIABLE,01493 GDB,"214,00",GDB,22 mm
01498 DBS,01498 DBS VARIABLE,01498 R,"214,00",R,22 mm
01498 DBS,01498 DBS VARIABLE,01498 TBS,"214,00",TBS,22 mm
01498 DBS,01498 DBS VARIABLE,01498 DBS,"214,00",DBS,22 mm
13907 G,13907 G VARIABLE,13907 S,"214,00",S,22 mm
13907 G,13907 G VARIABLE,13907 G,"214,00",G,22 mm
13915 TB,13915 TB VARIABLE,13915 V,"214,00",V,22 mm
13915 TB,13915 TB VARIABLE,13915 W,"214,00",W,22 mm
13915 TB,13915 TB VARIABLE,13915 TB,"214,00",TB,22 mm
15964 GR,15964 GR VARIABLE,15964 TB,"214,00",TB,22 mm
15964 GR,15964 GR VARIABLE,15964 GR,"214,00",GR,22 mm
23782 B,23782 B VARIABLE,23782 GR,"214,00",GR,22 mm
23782 B,23782 B VARIABLE,23782 R,"214,00",R,22 mm
23782 B,23782 B VARIABLE,23782 W,"214,00",W,22 mm
23782 B,23782 B VARIABLE,23782 B,"214,00",B,22 mm
23800 DB,23800 DB VARIABLE,23800 R,"214,00",R,22 mm
23800 DB,23800 DB VARIABLE,23800 TB,"214,00",TB,22 mm
23800 DB,23800 DB VARIABLE,23800 DB,"214,00",DB,22 mm
23802 B,23802 B VARIABLE,238012 GR,"214,00",GR,22 mm
23802 B,23802 B VARIABLE,23802 DB,"214,00",DB,22 mm
23802 B,23802 B VARIABLE,23802 R,"214,00",R,22 mm
23802 B,23802 B VARIABLE,23802 B,"214,00",B,22 mm
23840 DV,23840 DV VARIABLE,23840 R,"214,00",R,22 mm
23840 DV,23840 DV VARIABLE,23840 V,"214,00",V,22 mm
23840 DV,23840 DV VARIABLE,23840 DV,"214,00",DV,22 mm
23878 DB,23878 DB VARIABLE,23878 TB,"214,00",TB,22 mm
23878 DB,23878 DB VARIABLE,23878 W,"214,00",W,22 mm
23878 DB,23878 DB VARIABLE,23878 DB,"214,00",DB,22 mm
23910 BG,23910 BG VARIABLE,23910 BS,"214,00",BS,22 mm
23910 BG,23910 BG VARIABLE,23910 DB,"214,00",DB,22 mm
23910 BG,23910 BG VARIABLE,23910 DBS,"214,00",DBS,22 mm
23910 BG,23910 BG VARIABLE,23910 DV,"214,00",DV,22 mm
23910 BG,23910 BG VARIABLE,23910 GR,"214,00",GR,22 mm
23910 BG,23910 BG VARIABLE,23910 R,"214,00",R,22 mm
23910 BG,23910 BG VARIABLE,23910 W,"214,00",W,22 mm
23910 BG,23910 BG VARIABLE,23910 BG,"214,00",BG,22 mm
23927 DB,23927 DB VARIABLE,23927 R,"214,00",R,22 mm
23927 DB,23927 DB VARIABLE,23927 DB,"214,00",DB,22 mm
23928 DBG,23928 DBG VARIABLE,23928 DBS,"214,00",DBS,22 mm
23928 DBG,23928 DBG VARIABLE,23928 R,"214,00",R,22 mm
23928 DBG,23928 DBG VARIABLE,23928 TB,"214,00",TB,22 mm
23928 DBG,23928 DBG VARIABLE,23928 W,"214,00",W,22 mm
23928 DBG,23928 DBG VARIABLE,23928 DBG,"214,00",DBG,22 mm
23929 B,23929 B VARIABLE,23929 DB,"214,00",DB,22 mm
23929 B,23929 B VARIABLE,23929 DBS,"214,00",DBS,22 mm
23929 B,23929 B VARIABLE,23929 R,"214,00",R,22 mm
23929 B,23929 B VARIABLE,23929 W,"214,00",W,22 mm
23929 B,23929 B VARIABLE,23929 B,"214,00",B,22 mm
